List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
131,19,UAL2,Swapnil Singh,India,34,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,PBKS,7,Uncapped,30
132,19,UAL2,Sanvir Singh,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,SRH,4,Uncapped,30
133,20,UWK2,Avanish Aravelly,India,19,WICKETKEEPER,LHB,RIGHT ARM Off Spin,CSK,0,Uncapped,30
134,20,UWK2,Vansh Bedi,India,22,WICKETKEEPER,RHB,,,,Uncapped,30
135,20,UWK2,Saurav Chauhan,India,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,RCB,3,Uncapped,30
136,20,UWK2,Harvik Desai,India,25,WICKETKEEPER,RHB,,MI,0,Uncapped,30
137,20,UWK2,Tom Kohler-Cadmore,England,30,WICKETKEEPER,RHB,,RR,4,Uncapped,50
138,20,UWK2,Kunal Rathore,India,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,RR,0,Uncapped,30
139,20,UWK2,B.R Sharath,India,28,WICKETKEEPER,RHB,,GT,1,Uncapped,30
140,21,UFA2,Gurnoor Singh Brar,India,24,BOWLER,LHB,RIGHT ARM Fast,GT,0,Uncapped,30
141,21,UFA2,Mukesh Choudhary,India,28,BOWLER,LHB,LEFT ARM Fast,CSK,1,Uncapped,30
142,21,UFA2,Sakib Hussain,India,20,BOWLER,RHB,RIGHT ARM Fast Medium,KKR,0,Uncapped,30
143,21,UFA2,Vidwath Kaverappa,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,PBKS,1,Uncapped,30
144,21,UFA2,Rajan Kumar,India,28,BOWLER,LHB,LEFT ARM Fast,RCB,0,Uncapped,30
145,21,UFA2,Sushant Mishra,India,24,BOWLER,LHB,LEFT ARM Fast,GT,0,Uncapped,30
146,21,UFA2,Arjun Tendulkar,India,25,BOWLER,LHB,LEFT ARM Fast Medium,MI,1,Uncapped,30
147,22,USP2,Zeeshan Ansari,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
148,22,USP2,Prince Choudhary,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,PBKS,0,Uncapped,30
149,22,USP2,Himanshu Sharma,India,26,BOWLER,RHB,RIGHT ARM Leg Spin,RCB,1,Uncapped,30
150,22,USP2,M. Siddharth,India,26,BOWLER,RHB,LEFT ARM Slow Orthodox,LSG,3,Uncapped,30
151,22,USP2,Digvesh Singh,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
